VIO_ID,ACCT_NUM,ACCT_OWNER,VIOLATION_NUM,VIO_LAW_NUM,VIO_LAW_DESC,VIO_DATE,ACTION,PREM_ADDR,BIN,COMMUNITY.BOARD,COUNCIL.DISTRICT,BBL,LATITUDE,LONGITUDE,POSTCODE,BOROUGH,NUMBER,STREET,CENSUS.TRACT,NTA
980,28153542,TIP ONE LLC.,E379633,RH3,FIRE SYS HAS BEEN ALTERED-LEGALIZE ORDER,9/24/2014,OPEN,18 MURRAY ST,1001406,101,1,1001247501,40.713415,-74.00847,10007,MN,18,MURRAY ST,21,SoHo-TriBeCa-Civic Center-Little Italy
17925,36327468,PARKING GARAGE SEWARD PK,E501820,OTHER0001,SEE FOLDER INFORMATION,9/9/2016,OPEN,415 GRAND ST,1082653,103,1,1003150001,40.715268,-73.986373,10002,MN,415,GRAND ST,1401,Lower East Side
51260,91112797,PT.RICHMOND H.S.,E260892,RH8,OUTDATED SYSTEM-UPDATE NECESSARY,2/27/2009,OPEN,39 INNIS ST,5026076,501,49,5011210001,40.634544,-74.142424,10302,SI,39,INNIS ST,213,Port Richmond
24767,38036547,NYCDCAS,E505564,OTHER0001,SEE FOLDER INFORMATION,12/22/2017,OPEN,4101 WHITE PLAINS RD,2063174,212,12,2048320009,40.890914,-73.859159,10466,BX,4101,WHITE PLAINS RD,420,Williamsbridge-Olinville
2285,35136993,BIRDS & BUBBLES(-1),E431985,RH-43,LOCATION OF REMOTE PULL 10 TO 20 FOOT,8/19/2015,OPEN,100 FORSYTH ST,1005561,103,1,1004180032,40.71826,-73.992637,10002,MN,100,FORSYTH ST,18,Chinatown
39017,89021349,KINGS COUNTY HOSPITAL,E 379203,FO 4,SEAL TANK,1/17/2014,OPEN,451 CLARKSON AVE,3327711,309,40,3048290001,40.65658,-73.94495,11203,BK,451,CLARKSON AVE,808,Prospect Lefferts Gardens-Wingate
49052,24156242,P.S.  65,E314470,PBU-30,PROVIDE OR REPAIR A DOOR,7/13/2011,OPEN,103-22 99 ST,4438525,410,32,4091210011,40.682638,-73.841513,11417,QN,103-22,99 ST,4002,Ozone Park
38838,94037181,KINGSBOROUGH COLLEGE,E439886,RH-86,HYRDOSTATIC TEST REQUIRED,5/24/2016,OPEN,2110 ORIENTAL BLVD,3326935,315,48,3087600060,40.576367,-73.932522,11235,BK,2110,ORIENTAL BLVD,616,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
23663,35125921,MORTON WILLIAMS(1FL),E473831,RH-86,HYRDOSTATIC TEST REQUIRED,8/2/2016,OPEN,15 E KINGSBRIDGE RD,2017485,207,14,2033170006,40.867625,-73.89675,10468,BX,15,E KINGSBRIDGE RD,40304,Van Cortlandt Village
29922,38392908,THE ANTAGONIST,E529661,PA 7,PROV COO OR LETTER OF NO OBJ FROM DOB,11/2/2018,OPEN,641 HANCOCK ST,3045831,303,36,3016560046,40.685003,-73.929701,11233,BK,641,HANCOCK ST,295,Stuyvesant Heights
7266,38336004,JOSEPH P DAY REALTY,E539775,OTHER0001,SEE FOLDER INFORMATION,9/7/2018,OPEN,437 5 AVE,1017244,105,4,1008680072,40.7513,-73.982013,10016,MN,437,5 AVE,82,Murray Hill-Kips Bay
35184,31264302,P.S. 180 HOMEWOOD SCHOOL,E542396,PBU-52,Limit size of walls decorations,12/14/2018,OPEN,5601 16 AVE,3130809,312,44,3054920001,40.626595,-73.989479,11204,BK,5601,16 AVE,470,Borough Park
25151,32124125,NYC DEPT OF EDUCATION,E469740,PA 24,PROVIDE FLAMEPROOFING AFFIDAVIT,9/22/2016,OPEN,3201 KINGSBRIDGE AVE,2083564,208,11,2057560195,40.881487,-73.905742,10463,BX,3201,KINGSBRIDGE AVE,287,Spuyten Duyvil-Kingsbridge
9788,31263593,PS 199 JESSE I. STRAUS,E543619,PBU-9A,Provide a LoA for IFA,5/10/2018,OPEN,270 W 70 ST,1030351,107,6,1011580040,40.777764,-73.984733,10023,MN,270,W 70 ST,155,Lincoln Square
51876,35162072,KRAJA CAFE,E408013,RH3,FIRE SYS HAS BEEN ALTERED-LEGALIZE ORDER,6/17/2015,OPEN,837 CAPODANNO BLVD,5104302,502,50,5038470024,40.575725,-74.083745,10305,SI,837,CAPODANNO BLVD,11201,Old Town-Dongan Hills-South Beach
36092,23066962,LIU'S RESTAURANT,E522448,RH-21,ACCESS PANELS SIGNAGE,6/13/2018,OPEN,1869 BATH AVE,3167777,311,43,3064050047,40.602886,-74.003854,11214,BK,1869,BATH AVE,280,Bath Beach
5523,89025001,"501 7TH AVE ASSOC,LLC.",E500798,EAP-4,PROVIDE EAPD HOLDING A COF,5/5/2017,OPEN,501 7 AVE,1015253,105,3,1008130001,40.752857,-73.988552,10018,MN,501,7 AVE,109,Midtown-Midtown South
34552,37072477,2101 CHURCH EQUITIES LLC,E506657,STP 23,ARRANGE 5YR STANDPIPE FLOW PRESSURE TST,8/8/2017,OPEN,2101 CHURCH AVE,3116593,314,40,3050820055,40.650542,-73.959591,11226,BK,2101,CHURCH AVE,50801,Flatbush
51603,96083456,P S 52,E408005,RH3,FIRE SYS HAS BEEN ALTERED-LEGALIZE ORDER,5/29/2015,OPEN,450 BUEL AVE,5053746,502,50,5037050001,40.582432,-74.088724,10305,SI,450,BUEL AVE,11201,Old Town-Dongan Hills-South Beach
2055,99019929,AVENIDA TEX MEX CANTINA,E481890,RH-3,LEGALIZE - SYSTEM ALTERED,9/13/2017,OPEN,25 AVE B,1004588,103,2,1003850004,40.722242,-73.983019,10009,MN,25,AVE B,2202,Lower East Side
4913,33076738,VORNADO OFFICE MANGEMENT,E384751,OTHER0001,SEE FOLDER INFORMATION,3/23/2013,OPEN,1 PENN PLZ,1014387,105,3,1007830070,40.751157,-73.992239,10119,MN,1,PENN PLZ,101,Midtown-Midtown South
52071,88074414,R-N-S- AUTO BODY INC,E332513,SPRY00B31,FILE PLANS OF INSTALLATION WITH BLDGS,12/3/2013,OPEN,2812 ARTHUR KILL RD,5107807,503,51,5071050500,40.547972,-74.225418,10309,SI,2812,ARTHUR KILL RD,226,Charleston-Richmond Valley-Tottenville
45799,39003728,MEADOW PARK REHABILIT,E551340,OTHER0001,SEE FOLDER INFORMATION,12/21/2018,OPEN,78-10 164 ST,4148325,408,24,4068510012,40.722556,-73.804994,11366,QN,78-10,164 ST,1257,Kew Gardens Hills
42218,92044544,NYC CUNY,E 356462,OTHER0001,SEE FOLDER INFORMATION,4/10/2013,OPEN,29-10 THOMSON AVE,4003516,402,26,4002730001,40.744262,-73.937888,11101,QN,29-10,THOMSON AVE,1,Hunters Point-Sunnyside-West Maspeth
41866,300095,FLATLANDS &107 CO LLC,E560330,SPK 7,ARRANGE 5 YEAR HYDRO TEST OF SPK SYS,12/13/2018,OPEN,10702 FLATLANDS AVE,3838278,318,46,3082150022,40.648146,-73.892157,11236,BK,10702,FLATLANDS AVE,984,Canarsie
581,38010542,2 RECTOR ST/COVE DEV,E523734,OTHER0001,SEE FOLDER INFORMATION,2/25/2018,OPEN,2 RECTOR ST,1001031,101,1,1000510001,40.708089,-74.013149,10006,MN,2,RECTOR ST,13,Battery Park City-Lower Manhattan
49304,36039204,CUNY,E451811,OTHER0001,SEE FOLDER INFORMATION,1/20/2016,OPEN,65-50 KISSENA BLVD,4439911,408,24,4065170001,40.736229,-73.817215,11367,QN,65-50,KISSENA BLVD,809,Kew Gardens Hills
40607,36236180,GRAHAM CHILD CARE,E459877,OTHER0001,SEE FOLDER INFORMATION,4/19/2016,OPEN,222 GRAHAM AVE,3344971,301,34,3030260001,40.709867,-73.943197,11206,BK,222,GRAHAM AVE,493,Bushwick South
48064,5409156,DIVINE INVESTOR LLC,E522374,RH-3,LEGALIZE - SYSTEM ALTERED,10/5/2017,OPEN,13-12 BEACH CHANNEL DR,4297852,414,31,4155280005,40.605546,-73.754693,11691,QN,13-12,BEACH CHANNEL DR,103201,Far Rockaway-Bayswater
10636,30259519,SUNRISE MART(1FL),E432061,RH-24,INSULATION OF GREASE DUCTS,8/25/2015,OPEN,12 E 41 ST,1035326,105,4,1012750064,40.752308,-73.980747,10017,MN,12,E 41 ST,82,Murray Hill-Kips Bay
18918,32154726,INDIAN MISSION,E298972,STP 9,REPAIRREPLACEDEF/MISSINGDOORGRAVITYTANK,5/25/2012,OPEN,235 E 43 ST,1084824,106,4,1013170020,40.751009,-73.971992,10017,MN,235,E 43 ST,88,Turtle Bay-East Midtown
22628,38304770,CASA DEL MAR,E534990,RH-42,THE REQUIREMENT FOR UL 300 SYS OR EQUIV,8/28/2018,OPEN,1779 WEBSTER AVE,2009350,205,15,2028900071,40.845222,-73.902746,10457,BX,1779,WEBSTER AVE,231,Mount Hope
51983,31272479,IS 51 E MARKHAM,E507272,PBU-70,Fail main elevat operab all time,10/17/2017,OPEN,20 HOUSTON ST,5107210,501,50,5014780500,40.623007,-74.145319,10302,SI,20,HOUSTON ST,251,Port Richmond
12187,38413753,PARIS MATCH #65,E556296,RH-7,ARRANGE FOR TEST OR RETEST OF FIRE SYS,12/24/2018,OPEN,29 E 65 ST,1041128,108,4,1013800023,40.76742,-73.968249,10065,MN,29,E 65 ST,122,Upper East Side-Carnegie Hill
32829,93080307,WIN XIN KITCHEN,E439335,RH-42,THE REQUIREMENT FOR UL 300 SYS OR EQUIV,3/16/2016,OPEN,615 WILSON AVE,3079527,304,37,3034300005,40.690155,-73.906817,11207,BK,615,WILSON AVE,409,Bushwick North
5704,38415360,MFK REALTY CORP,E550730,OTHER0001,SEE FOLDER INFORMATION,10/24/2018,OPEN,35 W 19 ST,1015467,105,3,1008210020,40.740032,-73.993086,10011,MN,35,W 19 ST,54,Hudson Yards-Chelsea-Flatiron-Union Square
4914,38217261,VORNADO OFFICE MGMT,E548157,OTHER0001,SEE FOLDER INFORMATION,10/10/2018,OPEN,1 PENN PLZ,1014387,105,3,1007830070,40.751157,-73.992239,10119,MN,1,PENN PLZ,101,Midtown-Midtown South
23033,31268097,PS 59 COMMUNITY SCHOOL,E558463,PBU-84,Prov clearance to light fixtures,5/31/2018,OPEN,2185 BATHGATE AVE,2011538,206,15,2030490037,40.853104,-73.893594,10457,BX,2185,BATHGATE AVE,395,Claremont-Bathgate
47169,28036267,I.S 109,E253378,RH5,MISC. VIOLATION ITEMS,2/26/2008,OPEN,213-10 92 AVE,4226839,413,23,4106260001,40.720429,-73.746574,11428,QN,213-10,92 AVE,542,Queens Village
6798,89053490,ADAM & CO.,E380211,HRU-13,RESTORE FIRE ALARM SYSTEM,9/23/2013,OPEN,11 E 26 ST,1016876,105,2,1008560009,40.743441,-73.987224,10010,MN,11,E 26 ST,56,Hudson Yards-Chelsea-Flatiron-Union Square
27548,38056941,EAT HALAL INTERNATIONAL,E530437,RH-20,PROVIDED ACCESS PANELS,7/23/2018,OPEN,574 ATLANTIC AVE,3001017,302,33,3001860036,40.684332,-73.978873,11217,BK,574,ATLANTIC AVE,39,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
22973,27144120,LE WAFOU AFRICAN,E559459,RH-2,LEGALIZE EXTINGUISHING SYSTEM -NO RECORD,10/29/2018,OPEN,2252 WEBSTER AVE,2011165,206,15,2030300145,40.855496,-73.895685,10457,BX,2252,WEBSTER AVE,38302,Fordham South
24516,37270592,CEMITAS PUEBLA REST.,E556483,RH-21,ACCESS PANELS SIGNAGE,11/29/2018,OPEN,679 ALLERTON AVE,2053535,211,15,2045080005,40.865686,-73.868071,10467,BX,679,ALLERTON AVE,336,Bronxdale
30997,29046430,SHIRLEY CHISOLM CAFE,E333620,RH-83,SUMMONS ISSUED,12/8/2011,OPEN,55 HANSON PL,3059236,302,35,3021130001,40.685628,-73.975777,11217,BK,55,HANSON PL,35,Fort Greene
27263,31284540,PS 307 D H WILLIAMS,E557504,PBU-40,Prov CoF for maint of spk/IFA,10/16/2018,OPEN,209 YORK ST,3000158,302,33,3000560007,40.701741,-73.98166,11201,BK,209,YORK ST,21,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
16770,27237718,GSA/US GOVT.GENERAL SERV,E355712,SPK 6,RESTORE SPK SYS AND RETEST,5/18/2013,OPEN,203 CENTRE ST,1079573,102,1,1002340001,40.719214,-73.999326,10013,MN,203,CENTRE ST,45,SoHo-TriBeCa-Civic Center-Little Italy
42208,91143420,FIORELLO H LAGUARDIA(3FL,E304812,RH-2,LEGALIZE EXTINGUISHING SYSTEM -NO RECORD,2/10/2011,OPEN,29-10 THOMSON AVE,4003516,402,26,4002730001,40.744262,-73.937888,11101,QN,29-10,THOMSON AVE,1,Hunters Point-Sunnyside-West Maspeth
32135,36027787,HUMMUS MARKET,E480750,RH-24,INSULATION OF GREASE DUCTS,5/23/2017,OPEN,361 GRAHAM AVE,3068607,301,34,3027540029,40.715389,-73.944779,11211,BK,361,GRAHAM AVE,497,East Williamsburg
26755,37309465,CROSSBRONXLP PROGRESSIVE,E497251,OTHER0001,SEE FOLDER INFORMATION,7/26/2017,OPEN,1457 OGDEN AVE,2115561,204,16,2025360015,40.843764,-73.923994,10452,BX,1457,OGDEN AVE,201,Highbridge
41897,28035012,WHITE CASTLE REST,E544843,CD-17,,12/31/2018,OPEN,1545 MYRTLE AVE,3848568,304,37,3033370006,40.699623,-73.912822,11237,BK,1545,MYRTLE AVE,439,Bushwick North
49696,36207678,NYCSCA,E548186,OTHER0001,SEE FOLDER INFORMATION,8/14/2018,OPEN,50-40 JACOBUS ST,4454423,404,25,4024500017,40.737362,-73.887905,11373,QN,50-40,JACOBUS ST,489,Elmhurst-Maspeth
34985,35121540,SUSHI K EXPRESS LLC(1FL),E444014,RH-7,ARRANGE FOR TEST OR RETEST OF FIRE SYS,4/28/2015,OPEN,4120 16 AVE,3125721,312,39,3053630045,40.635281,-73.981529,11204,BK,4120,16 AVE,230,Borough Park
5463,37156437,RAP 134 LLC,E549171,OTHER0001,SEE FOLDER INFORMATION,10/2/2018,OPEN,134 W 34 ST,1015206,105,3,1008090064,40.750193,-73.989502,10001,MN,134,W 34 ST,101,Midtown-Midtown South
5129,98043896,NAFSHI REALTORS CORP.,E 251790,FP 80,REMOVE ALL RUBBISH,11/10/2008,OPEN,250 W 40 ST,1014509,105,3,1007890067,40.755302,-73.989828,10018,MN,250,W 40 ST,113,Midtown-Midtown South
36921,27016914,JOHN DEWEY H.S.(1FL),E374139,RH-7,ARRANGE FOR TEST OR RETEST OF FIRE SYS,4/2/2015,OPEN,50 AVE X,3194998,313,47,3071850020,40.587637,-73.981505,11223,BK,50,AVE X,308,Gravesend
10336,32304248,1200 AVE THE AMERICAS,E376951,OTHER0001,SEE FOLDER INFORMATION,10/18/2012,OPEN,1200 6 AVE,1034470,105,4,1012630001,40.758085,-73.981453,10036,MN,1200,6 AVE,96,Midtown-Midtown South
14063,96072103,COLUMBIA UNIVERSITY,E448591,SPK 7,ARRANGE 5 YEAR HYDRO TEST OF SPK SYS,3/23/2016,OPEN,2909 BROADWAY,1057350,109,7,1018950055,40.806508,-73.965504,10025,MN,2909,BROADWAY,199,Morningside Heights
48741,89033948,CULTURAS FIESTA CORP,E449901,PA 14,OPERATE AS PER CERT OF OCCUPANCY,9/19/2015,OPEN,33-15 56 ST,4437077,402,26,4011800010,40.752878,-73.904827,11377,QN,33-15,56 ST,257,Woodside
30084,31119639,NYC DEPT OF EDUCATION,E479405,PA 17,NOT MATCH CERT OF OCCUPANCY,1/14/2016,OPEN,700 PARK AVE,3048508,303,36,3017390011,40.697432,-73.947857,11206,BK,700,PARK AVE,257,Bedford
751,89039044,110 WILLIAM PROPERTY,E465912,HRU-3,PROVIDE LOA FOR ALARM SYSTEM,6/17/2016,OPEN,110 WILLIAM ST,1001186,101,1,1000770008,40.708774,-74.006738,10038,MN,110,WILLIAM ST,1502,Battery Park City-Lower Manhattan
35502,32094559,PENG SHUN REST #9,E559849,RH-20,PROVIDED ACCESS PANELS,12/20/2018,OPEN,6301 8 AVE,3141676,310,38,3057350001,40.633353,-74.011348,11220,BK,6301,8 AVE,120,Sunset Park East
13818,27116102,N.Y.C.POLICE DEPT.,E447280,OTHER0001,SEE FOLDER INFORMATION,10/29/2015,OPEN,151 W 100 ST,1055910,107,7,1018550005,40.796501,-73.967193,10025,MN,151,W 100 ST,189,Upper West Side
270,24033805,20 BROAD STREET ASSOC,E305465,OTHER0001,SEE FOLDER INFORMATION,4/21/2010,OPEN,20 BROAD ST,1000816,101,1,1000230050,40.70662,-74.011458,10005,MN,20,BROAD ST,7,Battery Park City-Lower Manhattan
2666,32206997,HASSAN GHOLAZADEH,E346716,OTHER0001,SEE FOLDER INFORMATION,6/6/2012,OPEN,186 GRAND ST,1006970,102,1,1004710022,40.719588,-73.997339,10013,MN,186,GRAND ST,41,SoHo-TriBeCa-Civic Center-Little Italy
39860,70040878,STATE OF NY DOWNSTATE,E355825,OTHER0001,SEE FOLDER INFORMATION,9/24/2013,OPEN,450 CLARKSON AVE,3336186,317,40,3048380001,40.655128,-73.945112,11203,BK,450,CLARKSON AVE,816,East Flatbush-Farragut
13677,33322546,E HARLEM COUNCIL HUMAN S,E413260,OTHER0001,SEE FOLDER INFORMATION,12/20/2013,OPEN,2265 3 AVE,1054630,111,8,1017880001,40.802418,-73.936332,10035,MN,2265,3 AVE,194,East Harlem North
46821,33234204,AMAZURA INC,E423876,OTHER0001,SEE FOLDER INFORMATION,5/14/2014,OPEN,91-12 144 PL,4213861,412,24,4099840011,40.700171,-73.810396,11435,QN,91-12,144 PL,212,Jamaica
47024,36125268,REGAL RECYCLING,E459810,OTHER0001,SEE FOLDER INFORMATION,3/23/2016,OPEN,172-06 DOUGLAS AVE,4217728,412,27,4102200025,40.704715,-73.785685,11433,QN,172-06,DOUGLAS AVE,444,Jamaica
44372,36084622,U.S. POST OFFICE,E466078,SPK 37,PROVIDE /MAINTAIN RECORDS INSP SPK SYS,8/10/2016,OPEN,106-28 QUEENS BLVD,4077476,406,29,4032370018,40.721668,-73.847,11375,QN,106-28,QUEENS BLVD,711,Forest Hills
2910,35239128,RAOULS RESTAURANT CORP,E528689,SPPA 4,NO PA PERMIT,8/15/2018,OPEN,180 PRINCE ST,1007784,102,3,1005030019,40.726149,-74.002157,10012,MN,180,PRINCE ST,49,SoHo-TriBeCa-Civic Center-Little Italy
14289,38142113,HARMONY,E522694,RH-7,ARRANGE FOR TEST OR RETEST OF FIRE SYS,4/25/2018,OPEN,390 MANHATTAN AVE,1059049,110,9,1019430147,40.805338,-73.956323,10026,MN,390,MANHATTAN AVE,20102,Central Harlem South
39189,36222289,WILLIAM O'CONNOR BAYRIDG,E29017,PA 10,REMOVE LOCKING DEVICES FROM EXITS,7/6/2016,OPEN,420 95 ST,3329016,310,43,3061230028,40.615185,-74.030656,11209,BK,420,95 ST,162,Bay Ridge
19338,38166989,EUROPEAN WAX CENTER,E523816,OTHER0001,SEE FOLDER INFORMATION,3/19/2018,OPEN,750 6 AVE,1085951,105,3,1008260001,40.743705,-73.991776,10010,MN,750,6 AVE,58,Hudson Yards-Chelsea-Flatiron-Union Square
27813,22034540,BUTTERMILK CHANNEL,E535329,RH-86,HYRDOSTATIC TEST REQUIRED,5/10/2018,OPEN,524 COURT ST,3005643,306,39,3003790038,40.676003,-73.999255,11231,BK,524,COURT ST,65,Carroll Gardens-Columbia Street-Red Hook
6306,29149994,MCDONALDS CORPORATION,E384537,OTHER0001,SEE FOLDER INFORMATION,2/13/2013,OPEN,972 6 AVE,1015918,105,4,1008370089,40.75078,-73.98673,10018,MN,972,6 AVE,84,Midtown-Midtown South
37292,87022984,N Y C DEPT OF EDUCATION,E561300,VC 20,FAILED TO CONDUCT REQUIR TEST/INSPECTION,10/5/2018,OPEN,3000 AVE X,3203631,315,48,3074250002,40.593517,-73.936731,11235,BK,3000,AVE X,626,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
3156,31100100,KAUFMAN SHOE REPAIR SUP,E216413,OTHER0001,SEE FOLDER INFORMATION,5/27/2011,OPEN,346 LAFAYETTE ST,1008453,102,1,1005290069,40.726248,-73.994749,10012,MN,346,LAFAYETTE ST,5502,West Village
19067,98019631,NYC DEPT OF EDUCATION,E481456,RH-53,SEMI ANNUAL INSPECTION & RECORDS REQ.,9/11/2017,OPEN,450 NORTH END AVE,1085459,101,1,1000160221,40.717219,-74.013883,10282,MN,450,NORTH END AVE,31703,Battery Park City-Lower Manhattan
5386,35136951,CANON WINE BAR,E463233,PA 32,HAVE I.F.A. RESTORED TO WORKING ORDER,5/10/2016,OPEN,129 W 29 ST,1015143,105,3,1008050022,40.747377,-73.991231,10001,MN,129,W 29 ST,95,Midtown-Midtown South
51521,24156903,PS 46 ALBERT MANISCALCO,E323268,PBU-67,remove port. fueled equipment,6/3/2011,OPEN,41 REID AVE,5047613,502,50,5032430001,40.594198,-74.080609,10305,SI,41,REID AVE,64,Grasmere-Arrochar-Ft. Wadsworth
11228,38001202,JONES LANG LASALLE,E539789,OTHER0001,SEE FOLDER INFORMATION,9/18/2018,OPEN,460 PARK AVE,1036067,105,4,1012930035,40.762033,-73.971007,10022,MN,460,PARK AVE,11202,Midtown-Midtown South
32785,89026926,VILINUIS INC,E516163,HRU-3,PROVIDE LOA FOR ALARM SYSTEM,11/2/2018,OPEN,1090 PUTNAM AVE,3077130,304,34,3033730010,40.687914,-73.918737,11221,BK,1090,PUTNAM AVE,397,Bushwick South
39256,93032936,"DOLORES, INC.",E265902,SPPA 4,NO PA PERMIT,10/30/2009,OPEN,248 AVE X,3329383,315,47,3071920001,40.589919,-73.973857,11223,BK,248,AVE X,37402,Gravesend
6721,30197743,902 ASSOCIATES,E376399,OTHER0001,SEE FOLDER INFORMATION,1/23/2013,OPEN,902 BROADWAY,1016201,105,2,1008490016,40.739339,-73.989361,10010,MN,902,BROADWAY,52,Hudson Yards-Chelsea-Flatiron-Union Square
26270,87061883,"MANHEM CLUB,INC",E529110,PA 46,DISCONTINUE STORAGE/USE OF COMBUST GASES,8/10/2018,OPEN,658 CLARENCE AVE,2097560,210,13,2054860029,40.82917,-73.81433,10465,BX,658,CLARENCE AVE,160,Schuylerville-Throgs Neck-Edgewater Park
46185,37220274,101 AVE DELI GROCERY,E512145,RH-7,ARRANGE FOR TEST OR RETEST OF FIRE SYS,2/1/2018,OPEN,92-15 101 AVE,4188543,409,32,4090660032,40.68392,-73.848035,11416,QN,92-15,101 AVE,38,Woodhaven
33336,38027009,EL TIPICO,E489835,RH-54,QUARTERLY EXHAUST SYSTEM CLEANING,1/23/2018,OPEN,2933 FULTON ST,3087634,305,37,3039380033,40.679476,-73.886623,11207,BK,2933,FULTON ST,117201,Cypress Hills-City Line
6864,38112991,MOINIAN GROUP,E524262,OTHER0001,SEE FOLDER INFORMATION,10/3/2017,OPEN,245 5 AVE,1016896,105,2,1008570076,40.744341,-73.987072,10016,MN,245,5 AVE,56,Hudson Yards-Chelsea-Flatiron-Union Square
27827,38131108,205 SMITH ST LLC,E523787,OTHER0001,SEE FOLDER INFORMATION,4/5/2018,OPEN,205 SMITH ST,3006352,306,33,3003970001,40.684908,-73.991369,11201,BK,205,SMITH ST,69,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
51413,27114339,NYC DEPT OF SANITATION,E491777,OTHER0001,SEE FOLDER INFORMATION,7/28/2017,OPEN,2500 RICHMOND AVE,5041599,502,51,5025200001,40.586685,-74.169322,10314,SI,2500,RICHMOND AVE,228,New Springville-Bloomfield-Travis
9430,27113737,MTA NYC TRANSIT,E491422,OTHER0001,SEE FOLDER INFORMATION,6/16/2017,OPEN,525 11 AVE,1027086,104,3,1010880001,40.760453,-74.000493,10018,MN,525,11 AVE,117,Hudson Yards-Chelsea-Flatiron-Union Square
29573,27065358,PS498 ACORN HS SOC JUST,E325114,PBU-81,Prop identify cabinet for exting.,4/1/2011,OPEN,1396 BROADWAY,3039676,303,41,3014820001,40.688483,-73.920787,11221,BK,1396,BROADWAY,375,Stuyvesant Heights
24858,98057961,JACKIE'S WEST INDIAN,E484429,RH-85,REINSPECTION REQUIRED,10/4/2016,OPEN,1203 E 233 ST,2066569,212,12,2049540008,40.889527,-73.843236,10466,BX,1203,E 233 ST,426,Woodlawn-Wakefield
47910,31287188,P.S. 251,E550538,PBU-32,Remov all accum. rubb and storag,2/7/2018,OPEN,144-51 ARTHUR ST,4285682,413,31,4133310001,40.664951,-73.759204,11413,QN,144-51,ARTHUR ST,320,Springfield Gardens South-Brookville
42454,32012932,BRAUSE PLAZA LLC,E322293,OTHER0001,SEE FOLDER INFORMATION,1/7/2012,OPEN,27-01 QUEENS PLZ,4005016,401,26,4004160010,40.750841,-73.938596,11101,QN,27-01,QUEENS PLZ,33,Queensbridge-Ravenswood-Long Island City
