VIO_ID,ACCT_NUM,ACCT_OWNER,VIOLATION_NUM,VIO_LAW_NUM,VIO_LAW_DESC,VIO_DATE,ACTION,PREM_ADDR,BIN,COMMUNITY.BOARD,COUNCIL.DISTRICT,BBL,LATITUDE,LONGITUDE,POSTCODE,BOROUGH,NUMBER,STREET,CENSUS.TRACT,NTA
40945,35139518,NYC EDC,E430843,OTHER0001,SEE FOLDER INFORMATION,5/11/2015,OPEN,13 42 ST,3378187,307,38,3007150001,40.654943,-74.015336,11232,BK,13,42 ST,18,Sunset Park West
38721,37221546,OUR LADY OF LOURDES APT,E497317,OTHER0001,SEE FOLDER INFORMATION,6/15/2017,OPEN,11 DE SALES PL,3326478,304,37,3034680050,40.680962,-73.906076,11207,BK,11,DE SALES PL,405,Bushwick South
36295,30104814,SY CUISINE,E559065,RH-2,LEGALIZE EXTINGUISHING SYSTEM -NO RECORD,10/9/2018,OPEN,543 KINGS HWY,3177317,315,44,3066600044,40.604702,-73.969391,11223,BK,543,KINGS HWY,422,Homecrest
29356,32232639,NYC DEPT OF EDUCATION,E521240,PA 3,INSTALL EMERG LIGHTING SYSTEM PER LL41,10/2/2017,OPEN,1580 DEAN ST,3035761,308,36,3013470001,40.675739,-73.935079,11213,BK,1580,DEAN ST,309,Crown Heights North
35897,27116201,NYC FIRE DEPT,E492158,OTHER0001,SEE FOLDER INFORMATION,1/12/2017,OPEN,9219 5 AVE,3155323,310,43,3061090019,40.617348,-74.029418,11209,BK,9219,5 AVE,160,Bay Ridge
28176,34320812,CANIDO BASONAS CONSTRUCT,E409285,OTHER0001,SEE FOLDER INFORMATION,12/12/2014,OPEN,157 21 ST,3009244,307,38,3006390048,40.663302,-73.996193,11232,BK,157,21 ST,145,Sunset Park West
39061,24160012,PS 181 JOHN STEPTOE,E323712,PBU-68,Disc illegal stora Class1flamma,6/23/2011,OPEN,1023 NEW YORK AVE,3327776,317,45,3049040010,40.648084,-73.945869,11203,BK,1023,NEW YORK AVE,856,East Flatbush-Farragut
31650,33294620,UNITED RENTALS,E369172,OTHER0001,SEE FOLDER INFORMATION,11/23/2013,OPEN,245 MESEROLE AVE,3065442,301,33,3026040001,40.729362,-73.946552,11222,BK,245,MESEROLE AVE,573,Greenpoint
40401,88051875,RISEBORO COMM PARTNER.,E504306,PA 4,PROV ROLL DOWN GATE LOCKED IN OPENED POS,4/13/2017,OPEN,930 HALSEY ST,3339097,316,41,3014950013,40.685217,-73.916856,11233,BK,930,HALSEY ST,373,Ocean Hill
41309,87090049,NYC HOUSING AUTHORITY,E529597,VC 19,FAILED TO PROVIDE REQUIR AFFIDAVIT/PLANS,10/19/2018,OPEN,1630 ST MARKS AVE,3394308,316,41,3014600001,40.672755,-73.913493,11233,BK,1630,ST MARKS AVE,363,Ocean Hill
40683,37169828,EAST NY URBAN YOUTH CORP,E502722,OTHER0001,SEE FOLDER INFORMATION,7/27/2017,OPEN,359 HENDRIX ST,3346455,305,37,3039950001,40.673315,-73.889293,11207,BK,359,HENDRIX ST,1152,East New York
31121,31099021,TALMUDICAL ACADEMY,E329439,OTHER0001,SEE FOLDER INFORMATION,5/17/2011,OPEN,252 RODNEY ST,3060167,301,33,3021950001,40.706499,-73.9569,11211,BK,252,RODNEY ST,529,Williamsburg
27986,36385136,XPRESS TRANSPORTATION,E510880,HCU52,,9/10/2018,OPEN,50 COMMERCE ST,3008250,306,38,3005110028,40.680404,-74.007018,11231,BK,50,COMMERCE ST,59,Carroll Gardens-Columbia Street-Red Hook
38899,28101483,ROYAL FRIED CHICKEN,E332747,RH-1,INSTALL FIRE PROTECTION ORDER,5/9/2013,OPEN,739 RIVERDALE AVE,3327178,305,42,3040870047,40.664195,-73.888336,11207,BK,739,RIVERDALE AVE,1124,East New York
38625,28138303,ANREA BUNIS MGMT. INC,E225523,OTHER0001,SEE FOLDER INFORMATION,7/14/2008,OPEN,759 PRESIDENT ST,3324959,306,39,3009570062,40.674666,-73.977473,11215,BK,759,PRESIDENT ST,157,Park Slope-Gowanus
30792,36256790,GENTLEMAN FARMER FT.,E512394,RH-81,PROVIDE CLEANING & OPER INST & DUCT SKET,10/19/2017,OPEN,378 MYRTLE AVE,3058371,302,35,3020740029,40.692991,-73.971083,11205,BK,378,MYRTLE AVE,183,Fort Greene
30599,35167014,NYC DHS,E541355,MTF1021-2,,7/20/2018,OPEN,85 LEXINGTON AVE,3056327,303,35,3019670068,40.686978,-73.958678,11238,BK,85,LEXINGTON AVE,233,Bedford
39078,6293120,ZEV BLAN INC,E476742,FO 4,SEAL TANK,8/19/2017,OPEN,131 MONTROSE AVE,3327940,301,34,3030520033,40.707406,-73.944228,11206,BK,131,MONTROSE AVE,505,East Williamsburg
31556,21091392,POLISH & SLAVIC CENT,E512726,RH-3,LEGALIZE - SYSTEM ALTERED,4/16/2018,OPEN,176 JAVA ST,3064615,301,33,3025510014,40.731484,-73.953507,11222,BK,176,JAVA ST,575,Greenpoint
34506,38160438,"MANGO SEED REST, INC",E529402,PA 21,HAVE SPK SYSTEM CONNECTED TO ALARM SERV,8/31/2018,OPEN,757 FLATBUSH AVE,3116189,314,40,3050640012,40.65441,-73.959327,11226,BK,757,FLATBUSH AVE,79602,Prospect Lefferts Gardens-Wingate
32261,24124604,THE DOE FUND INC,E529498,SPPA 4,NO PA PERMIT,12/4/2018,OPEN,89 PORTER AVE,3070619,301,34,3029930001,40.707981,-73.928612,11237,BK,89,PORTER AVE,453,Bushwick North
35117,20023792,HALAL CHINESE,E480502,RH-3,LEGALIZE - SYSTEM ALTERED,5/9/2017,OPEN,984 CONEY ISLAND AVE,3128000,314,40,3054250079,40.633408,-73.967444,11230,BK,984,CONEY ISLAND AVE,482,Flatbush
38877,87056040,NYC HOUSING AUTHORITY,E561605,SPPA 4,NO PA PERMIT,10/16/2018,OPEN,2702 LINDEN BLVD,3326995,305,42,3044880001,40.66874,-73.864568,11208,BK,2702,LINDEN BLVD,1214,East New York
39110,36032399,MAIMONIDES MEDICAL OFFIC,E451917,OTHER0001,SEE FOLDER INFORMATION,1/15/2016,OPEN,1401 NEWKIRK AVE,3328270,314,40,3052000027,40.635591,-73.963834,11226,BK,1401,NEWKIRK AVE,520,Flatbush
38603,6574859,606 REALTY INC.,E312263,FO 4,SEAL TANK,10/12/2011,OPEN,606 45 ST,3324375,307,38,3007490005,40.646313,-74.005088,11220,BK,606,45 ST,96,Sunset Park East
39905,38124848,PIG BEACH,E489258,RH-7,ARRANGE FOR TEST OR RETEST OF FIRE SYS,4/9/2018,OPEN,452 UNION ST,3336225,306,39,3004380007,40.679636,-73.989163,11231,BK,452,UNION ST,75,Carroll Gardens-Columbia Street-Red Hook
35210,90033713,NYC DEPT OF EDUCATION,E450489,PA 32,HAVE I.F.A. RESTORED TO WORKING ORDER,12/9/2015,OPEN,6015 18 AVE,3132140,312,44,3055190001,40.621555,-73.987282,11204,BK,6015,18 AVE,244,Borough Park
39440,7055890,NYC DEPT. OF EDUCATION,E493102,FO 4,SEAL TANK,11/9/2017,OPEN,544 7 AVE,3331276,307,38,3008800001,40.660485,-73.988303,11215,BK,544,7 AVE,147,Sunset Park West
29214,26072769,JEWISH CHILDREN'S MUSEUM,E395415,SPPA 4,NO PA PERMIT,11/19/2014,OPEN,792 EASTERN PKWY,3033058,309,35,3012720006,40.668893,-73.941961,11213,BK,792,EASTERN PKWY,337,Crown Heights North
29695,32329393,1420 HERKIMER ST DVLPMNT,E515714,MTF973-2,,11/28/2017,OPEN,1424 HERKIMER ST,3042730,316,37,3015720018,40.677043,-73.906322,11233,BK,1424,HERKIMER ST,367,Ocean Hill
39805,38347480,HOTEL ST GEORGE,E539108,OTHER0001,SEE FOLDER INFORMATION,10/10/2018,OPEN,55 CLARK ST,3335928,302,33,3002310001,40.697842,-73.993346,11201,BK,55,CLARK ST,501,Brooklyn Heights-Cobble Hill
34713,38383782,AYURUEDIC PLATE,E559657,RH-20,PROVIDED ACCESS PANELS,11/14/2018,OPEN,1616 CORTELYOU RD,3118752,314,40,3051590001,40.641513,-73.963173,11226,BK,1616,CORTELYOU RD,514,Flatbush
31289,30225577,THE BEDFORD,E365160,RH-59,PROVIDE K CLASS OR OTHER EXTINGUISHER,4/4/2012,OPEN,110 BEDFORD AVE,3061604,301,33,3022970013,40.720094,-73.955669,11249,BK,110,BEDFORD AVE,517,North Side-South Side
37316,31206873,"1702 AVENUE Z , INC",E322471,OTHER0001,SEE FOLDER INFORMATION,9/8/2011,OPEN,1702 AVE Z,3204968,315,48,3074627502,40.588015,-73.952101,11235,BK,1702,AVE Z,600,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
41524,37235132,FORTINA(BASEMENT),E481261,RH-73,ADDITIONAL STORAGE REQUIREMENTS (SPK),7/19/2017,OPEN,445 GOLD ST,3397861,302,33,3001497501,40.691023,-73.982871,11201,BK,445,GOLD ST,15,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
33255,31286396,NEW GRACE EDUC CTR,E543210,PBU-52,Limit size of walls decorations,12/11/2018,OPEN,650 LIVONIA AVE,3085086,305,42,3038240021,40.664727,-73.892714,11207,BK,650,LIVONIA AVE,1126,East New York (Pennsylvania Ave)
36306,28037182,HUNAN CHINESE GRILL,E309084,RH-85,REINSPECTION REQUIRED,8/24/2010,OPEN,557 KINGS HWY,3177384,315,44,3066610044,40.604813,-73.968784,11223,BK,557,KINGS HWY,422,Homecrest
39847,94056595,WYCKOFF COMM CTR(NYCHA),E 383013,RH-84,VIOLATIONS PENDING,12/23/2014,OPEN,280 WYCKOFF ST,3336056,306,33,3003940001,40.682944,-73.983437,11217,BK,280,WYCKOFF ST,127,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
38024,20057154,HALAL CHINESE KING.INC,E599833,RH-85,REINSPECTION REQUIRED,12/13/2018,OPEN,3160 CONEY ISLAND AVE,3245015,313,48,3086780073,40.578977,-73.960038,11235,BK,3160,CONEY ISLAND AVE,362,Brighton Beach
34065,32124091,TILDEN HIGH SCHOOL,E339563,RH-85,REINSPECTION REQUIRED,2/14/2012,OPEN,5800 TILDEN AVE,3104598,317,45,3047420001,40.648096,-73.922233,11203,BK,5800,TILDEN AVE,936,Rugby-Remsen Village
39903,29070380,THE GREEN UNION ST. LLC.,E521311,SPPA 4,NO PA PERMIT,11/16/2017,OPEN,452 UNION ST,3336225,306,39,3004380007,40.679636,-73.989163,11231,BK,452,UNION ST,75,Carroll Gardens-Columbia Street-Red Hook
39013,31013386,FUNNY BBQ BAR INC,E416742,RH-3,LEGALIZE - SYSTEM ALTERED,3/13/2015,OPEN,818 54 ST,3327707,312,38,3056720013,40.638413,-74.00574,11220,BK,818,54 ST,106,Sunset Park East
33555,27109065,"LEEMILT'S PETROLEUM, INC",E492397,OTHER0001,SEE FOLDER INFORMATION,10/16/2018,OPEN,3513 ATLANTIC AVE,3093045,305,37,3041510054,40.68323,-73.867568,11208,BK,3513,ATLANTIC AVE,1184,Cypress Hills-City Line
27984,21025150,NEW STAR WINDOW GROUP,E449017,SPRY00B31,FILE PLANS OF INSTALLATION WITH BLDGS,7/14/2017,OPEN,189 VAN BRUNT ST,3008231,306,38,3005080007,40.681717,-74.00708,11231,BK,189,VAN BRUNT ST,59,Carroll Gardens-Columbia Street-Red Hook
36440,36210102,BOONBYNOLDOVA INC,E528457,PA 7,PROV COO OR LETTER OF NO OBJ FROM DOB,6/25/2018,OPEN,1827 CONEY ISLAND AVE,3181180,314,48,3067490058,40.612945,-73.962569,11230,BK,1827,CONEY ISLAND AVE,542,Midwood
28169,27191998,ENERGY FUEL CAFE INC,E556031,RH-85,REINSPECTION REQUIRED,10/4/2018,OPEN,606 5 AVE,3008910,307,38,3006280037,40.663953,-73.990999,11215,BK,606,5 AVE,143,Park Slope-Gowanus
36236,26049114,SBSP CORP.,E481436,RH-3,LEGALIZE - SYSTEM ALTERED,7/17/2017,OPEN,1928 CONEY ISLAND AVE,3175214,312,44,3066170044,40.610328,-73.962798,11230,BK,1928,CONEY ISLAND AVE,420,Homecrest
40092,27182914,CONEY ISLAND HOSPITAL,E407715,FO 4,SEAL TANK,1/20/2016,OPEN,2601 OCEAN PKWY,3337274,313,48,3072390001,40.586077,-73.965536,11235,BK,2601,OCEAN PKWY,370,Brighton Beach
31617,33325093,SUPREME TRUCKING CORP,E510919,HCU8,,10/30/2018,OPEN,245 MESEROLE AVE,3065442,301,33,3026040001,40.729362,-73.946552,11222,BK,245,MESEROLE AVE,573,Greenpoint
38014,38310132,TASHKENT SUPERMARKET LLC,E559846,RH-75,REQUIRED FIRE PROTECTION,12/19/2018,OPEN,713 BRIGHTON BEACH AVE,3244991,313,48,3086780002,40.578261,-73.960065,11235,BK,713,BRIGHTON BEACH AVE,362,Brighton Beach
27695,36242097,ST ANNPS PRE-SCHOOL,E558303,PBU-69B,Fail to maint use group,6/18/2018,OPEN,26 WILLOW PL,3002274,302,33,3002590012,40.692968,-73.99833,11201,BK,26,WILLOW PL,7,Brooklyn Heights-Cobble Hill
38220,38030714,BROOKLNY BLUE FEATHER,E557122,PBU-13A,Provide a number sign of the floor,11/27/2018,OPEN,2335 GERRITSEN AVE,3248264,315,46,3088230065,40.599736,-73.932173,11229,BK,2335,GERRITSEN AVE,632,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
39299,37063526,ROBERTA FIRED WOOD PIZZA,E484686,RH-77,DISCONTINUE SOLID FUEL COOKING OPERAT,2/21/2017,OPEN,630 FLUSHING AVE,3329628,303,36,3017200001,40.699762,-73.948172,11206,BK,630,FLUSHING AVE,257,Bedford
30865,87051942,FULTON DEKALB ASSOC.,E418168,FO 4,SEAL TANK,10/6/2017,OPEN,395 FLATBUSH AVE EX,3058594,302,35,3020930001,40.689329,-73.980777,11201,BK,395,FLATBUSH AVE EX,33,Fort Greene
39240,38351821,SHAHEREZADA RESTAURANT,E522995,RH-74,A CHARGED HOSE TO CONTROL HOW HOT FIRES,10/17/2018,OPEN,2390 CONEY ISLAND AVE,3329364,315,47,3071120039,40.598724,-73.961561,11223,BK,2390,CONEY ISLAND AVE,394,Homecrest
38125,96047907,NYC DEPT OF EDUCATION,E530531,RH-7,ARRANGE FOR TEST OR RETEST OF FIRE SYS,8/8/2018,OPEN,1401 EMMONS AVE,3246958,315,48,3087670026,40.583767,-73.954025,11235,BK,1401,EMMONS AVE,608,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
40581,87052130,BROOKLYN SPORTS CLUB,E403064,SPPA 4,NO PA PERMIT,8/7/2014,OPEN,1540 VAN SICLEN AVE,3343608,305,42,3044520200,40.647509,-73.87788,11239,BK,1540,VAN SICLEN AVE,105801,Starrett City
37565,24160228,PS 203 FLOYD BENNETT,E325216,PBU-73,Prov approv notification to FD,4/6/2011,OPEN,5101 AVE M,3218626,318,46,3078490001,40.621899,-73.92571,11234,BK,5101,AVE M,680,Flatlands
38814,35248137,MASAL CAFE,E559069,RH-29,CLEARANCE TO COMBUSTIBLE MATERIAL,9/28/2018,OPEN,1901 EMMONS AVE,3326914,315,48,3087750041,40.583893,-73.949109,11235,BK,1901,EMMONS AVE,608,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
38015,38310132,TASHKENT SUPERMARKET LLC,E559845,RH-77,DISCONTINUE SOLID FUEL COOKING OPERAT,12/19/2018,OPEN,713 BRIGHTON BEACH AVE,3244991,313,48,3086780002,40.578261,-73.960065,11235,BK,713,BRIGHTON BEACH AVE,362,Brighton Beach
40609,31274608,GOOD SHEPHARD CATH. ACAD,E543903,PBU-84,Prov clearance to light fixtures,1/23/2018,OPEN,1943 BROWN ST,3345248,315,46,3073110001,40.60443,-73.940385,11229,BK,1943,BROWN ST,566,Madison
30951,32024598,SCIENCE SKILL H.S.(3FL),E339315,RH-85,REINSPECTION REQUIRED,11/4/2011,OPEN,49 FLATBUSH AVE,3059161,302,35,3021060009,40.687545,-73.979544,11217,BK,49,FLATBUSH AVE,33,Fort Greene
40780,28014736,RACHEL'S,E512031,RH-87,SUBMIT AMENDED PLANS,3/19/2018,OPEN,408 5 AVE,3347330,306,39,3009980038,40.670299,-73.985654,11215,BK,408,5 AVE,137,Park Slope-Gowanus
31078,30199459,SHEILA PROPERTIES,E306550,OTHER0001,SEE FOLDER INFORMATION,7/20/2011,OPEN,485 KENT AVE,3059801,301,33,3021590001,40.707368,-73.968045,11249,BK,485,KENT AVE,547,North Side-South Side
34660,27106640,67 PCT POLICE DEPT,E287059,OTHER0001,SEE FOLDER INFORMATION,11/9/2010,OPEN,2820 SNYDER AVE,3117400,317,40,3051110024,40.648649,-73.950249,11226,BK,2820,SNYDER AVE,824,Erasmus
36316,38123865,MIRRER YESHIVA,E543543,OTHER0001,SEE FOLDER INFORMATION,4/9/2018,OPEN,1781 OCEAN PKWY,3177473,315,44,3066630060,40.605318,-73.966242,11223,BK,1781,OCEAN PKWY,418,Homecrest
33858,24160129,I.S. 232 WINTHROP I.S.,E325803,PBU-23B,Fail maint panic/fire exit hardwar,4/25/2011,OPEN,905 WINTHROP ST,3099733,317,41,3046060025,40.658926,-73.928735,11203,BK,905,WINTHROP ST,880,Prospect Lefferts Gardens-Wingate
30253,21044953,JOHN WESLEY UNITED METH-,E529109,RH-49,RESTORE FIRE EXTINGUISHING SYSTEM,8/9/2018,OPEN,260 QUINCY ST,3050841,303,36,3018070048,40.686658,-73.951225,11216,BK,260,QUINCY ST,243,Bedford
30627,24157687,PS 56 LEWIS LATIMER,E323106,PBU-31,PROVIDE/REPAIR SELF-CLOSE DEVICE TO DOOR,5/12/2011,OPEN,170 GATES AVE,3056874,302,35,3019830010,40.684332,-73.960549,11238,BK,170,GATES AVE,231,Clinton Hill
34746,28109148,BREEZE'S JAMAICAN(1FL),E347950,RH-2,LEGALIZE EXTINGUISHING SYSTEM -NO RECORD,9/12/2012,OPEN,1135 FLATBUSH AVE,3119607,314,45,3051870011,40.642555,-73.957223,11226,BK,1135,FLATBUSH AVE,790,Erasmus
28662,27111657,NYC DEPT OF SANITATION,E336432,OTHER0001,SEE FOLDER INFORMATION,6/4/2013,OPEN,129 2 AVE,3022747,306,39,3010200001,40.670928,-73.994287,11215,BK,129,2 AVE,117,Park Slope-Gowanus
38061,35340199,WAHL BURGER,E534583,RH-3,LEGALIZE - SYSTEM ALTERED,9/10/2018,OPEN,3015 STILLWELL AVE,3245141,313,47,3086940419,40.574993,-73.980761,11224,BK,3015,STILLWELL AVE,352,Seagate-Coney Island
41160,24126377,COMFORT INN,E385717,HRU-3,PROVIDE LOA FOR ALARM SYSTEM,8/23/2013,OPEN,3218 EMMONS AVE,3392378,315,46,3088150590,40.583936,-73.932387,11235,BK,3218,EMMONS AVE,622,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
38976,37215324,COLLEGIATE ACADEMY FOR,E542577,PBU-58,Discont use of tempor wiring,11/27/2018,OPEN,1962 LINDEN BLVD,3327434,305,42,3043480001,40.658782,-73.889153,11207,BK,1962,LINDEN BLVD,1104,East New York
37415,28056307,KREYOL FLAVOR,E530373,RH-85,REINSPECTION REQUIRED,8/1/2018,OPEN,1738 FLATBUSH AVE,3207312,318,45,3075980035,40.627746,-73.942659,11210,BK,1738,FLATBUSH AVE,740,Flatlands
35729,87100186,NYC DEPT OF EDUCATION,E449824,SPPA 4,NO PA PERMIT,11/25/2015,OPEN,7805 7 AVE,3150481,310,43,3059730001,40.623792,-74.018594,11228,BK,7805,7 AVE,206,Dyker Heights
41186,34193524,HILL COUNTRY BBQ,E487758,RH-3,LEGALIZE - SYSTEM ALTERED,12/6/2016,OPEN,345 ADAMS ST,3392969,302,33,3001407503,40.692722,-73.988424,11201,BK,345,ADAMS ST,11,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
33373,98080096,JK SPOT LLC,E529734,SPPA 4,NO PA PERMIT,9/1/2018,OPEN,2770 ATLANTIC AVE,3088255,305,37,3039610009,40.676028,-73.891971,11207,BK,2770,ATLANTIC AVE,1198,East New York
28700,33292913,JB GRIFFIN INC,E529265,SPPA 4,NO PA PERMIT,9/8/2018,OPEN,545 5 AVE,3023690,306,39,3010420004,40.665727,-73.988839,11215,BK,545,5 AVE,141,Park Slope-Gowanus
29304,28192656,GARDEN REST INC,E417284,RH-50,REPAIR DEFECTIVE/CLOGGED NOZZLES & CAPS,1/20/2016,OPEN,1060 NOSTRAND AVE,3035361,309,40,3013290040,40.662121,-73.951018,11225,BK,1060,NOSTRAND AVE,800,Prospect Lefferts Gardens-Wingate
33669,24158263,IS 218 J P SINNOTT,E325730,PBU-67,remove port. fueled equipment,4/29/2011,OPEN,370 FOUNTAIN AVE,3095977,305,42,3042780001,40.670064,-73.87456,11208,BK,370,FOUNTAIN AVE,1118,East New York
33560,36073591,ATLANTIC PARTY HALL INC,E521737,PA 10,REMOVE LOCKING DEVICES FROM EXITS,4/14/2018,OPEN,3360 ATLANTIC AVE,3093271,305,37,3041620018,40.681238,-73.872065,11208,BK,3360,ATLANTIC AVE,1178,Cypress Hills-City Line
36582,24159113,PS 101 VERRAZANO SCHOOL,E325144,PBU-67,remove port. fueled equipment,4/4/2011,OPEN,2360 BENSON AVE,3185973,311,47,3068750032,40.597538,-73.991906,11214,BK,2360,BENSON AVE,302,Bensonhurst East
37207,37034857,ADHM DELI CORP.,E485978,RH-2,LEGALIZE EXTINGUISHING SYSTEM -NO RECORD,1/25/2017,OPEN,3554 NOSTRAND AVE,3201579,315,48,3073860124,40.597104,-73.941539,11229,BK,3554,NOSTRAND AVE,59402,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
27646,33239336,DEPT OF DESIGN & CONS,E384039,OTHER0001,SEE FOLDER INFORMATION,9/6/2013,OPEN,128 PIERREPONT ST,3002006,302,33,3002430047,40.694791,-73.992411,11201,BK,128,PIERREPONT ST,502,Brooklyn Heights-Cobble Hill
37060,31205743,NYC DEPT OF EDUCATION,E457024,PA 3,INSTALL EMERG LIGHTING SYSTEM PER LL41,1/26/2017,OPEN,3000 W 1 ST,3196587,313,48,3072740107,40.577686,-73.969877,11224,BK,3000,W 1 ST,35602,West Brighton
32370,31197841,NYC DEPT OF EDUCATION,E479408,SPPA 4,NO PA PERMIT,1/15/2016,OPEN,60 COOK ST,3071571,301,34,3031140011,40.702804,-73.941482,11206,BK,60,COOK ST,491,East Williamsburg
31152,87060067,WILLIAMSBURG SENIOR,E290823,SPPA 5,PREMISE ALTERED/UNSAFE-REVOKE PERMIT,11/16/2016,OPEN,115 HEYWARD ST,3060997,301,33,3022250042,40.70173,-73.956486,11206,BK,115,HEYWARD ST,533,Williamsburg
38076,31286487,PS 225 EILEEN E ZAGLIN,E461087,PBU-11B,Repair fire alarm system,11/20/2017,OPEN,1075 OCEAN VIEW AVE SG,3245498,313,48,3087120056,40.580096,-73.956002,11235,BK,1075,OCEAN VIEW AVE SG,61004,Brighton Beach
33764,24158214,PS 306 ETHAN ALLEN,E325403,PBU-16,PROVIDE LETTER SIGN FOR ELEVATOR/STAIR,4/8/2011,OPEN,970 VERMONT ST,3097873,305,42,3043920001,40.655254,-73.886453,11207,BK,970,VERMONT ST,1104,East New York
41746,30004097,ROCO TACOS & TEQUILA,E487756,RH-3,LEGALIZE - SYSTEM ALTERED,12/6/2016,OPEN,339 ADAMS ST,3803962,302,33,3001400160,40.693211,-73.988421,11201,BK,339,ADAMS ST,11,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
27710,89046007,111 LIVINGTSTON ST LLC,E517658,HRU-28,PROVIDE COMM FROM FCS TO ELEV.,11/30/2018,OPEN,111 LIVINGSTON ST,3002555,302,33,3002660001,40.691533,-73.989845,11201,BK,111,LIVINGSTON ST,9,Brooklyn Heights-Cobble Hill
40891,24168460,PS 73 THOMAS BOYLAND,E323648,PBU-27A,Provide fireproof door selfclosing,6/10/2011,OPEN,241 MAC DOUGAL ST,3348549,316,41,3015270041,40.68043,-73.911538,11233,BK,241,MAC DOUGAL ST,371,Ocean Hill
